name,phone,role,email,ID
"Maria Petrova",888123456,"MATHEMATICS","maria.petrova@hbschool.bg",1
"Ivan Georgiev",889234567,"MATHEMATICS","ivan.georgiev@hbschool.bg",2
"Elena Dimitrova",887345678,"MATHEMATICS","elena.dimitrova@hbschool.bg",3
"Stefka Nikolova",886456789,"BULGARIAN","stefka.nikolova@hbschool.bg",4
"Petar Stoyanov",885567890,"BULGARIAN","petar.stoyanov@hbschool.bg",5
"Anna Hristova",884678901,"BULGARIAN","anna.hristova@hbschool.bg",6
"Maria Ivanova",883789012,"ENGLISH","maria.ivanova@hbschool.bg",7
"Georgi Petkov",882890123,"ENGLISH","georgi.petkov@hbschool.bg",8
"Desislava Todorova",881901234,"ENGLISH","desislava.todorova@hbschool.bg",9
"Nikolay Vasilev",880012345,"HISTORY","nikolay.vasilev@hbschool.bg",10
"Radka Georgieva",889123456,"HISTORY","radka.georgieva@hbschool.bg",11
"Stoyan Dimitrov",888234567,"GEOGRAPHY","stoyan.dimitrov@hbschool.bg",12
"Milena Petrova",887345678,"GEOGRAPHY","milena.petrova@hbschool.bg",13
"Veselina Stoeva",886456789,"BIOLOGY","veselina.stoeva@hbschool.bg",14
"Dimitar Nikolov",885567890,"BIOLOGY","dimitar.nikolov@hbschool.bg",15
"Krasimira Yordanova",884678901,"CHEMISTRY","krasimira.yordanova@hbschool.bg",16
"Atanas Petrov",883789012,"CHEMISTRY","atanas.petrov@hbschool.bg",17
"Tsvetelina Dimova",881901234,"PHYSICS","tsvetelina.dimova@hbschool.bg",19
"Stefan Stefanov",880012345,"PHYSICAL_EDUCATION","stefan.stefanov@hbschool.bg",20
"Maria Kostova",889123456,"PHYSICAL_EDUCATION","maria.kostova@hbschool.bg",21
"Elitsa Vasileva",888234567,"ART","elitsa.vasileva@hbschool.bg",22
"Hristo Hristov",887345678,"ART","hristo.hristov@hbschool.bg",23
"Nevena Petkova",886456789,"MUSIC","nevena.petkova@hbschool.bg",24
"Vladimir Todorov",885567890,"MUSIC","vladimir.todorov@hbschool.bg",25
"Plamen Georgiev",884678901,"TECHNOLOGY","plamen.georgiev@hbschool.bg",26
"Silvia Nikolova",883789012,"TECHNOLOGY","silvia.nikolova@hbschool.bg",27
"Aleksandar Dimitrov",882890123,"COMPUTER_SCIENCE","aleksandar.dimitrov@hbschool.bg",28
"Ivelina Stoyanova",881901234,"COMPUTER_SCIENCE","ivelina.stoyanova@hbschool.bg",29
"Martin Petrov",880012345,"GERMAN","martin.petrov@hbschool.bg",30
"Galina Georgieva",889123456,"GERMAN","galina.georgieva@hbschool.bg",31
"Rositsa Dimitrova",888234567,"FRENCH","rositsa.dimitrova@hbschool.bg",32
"Vasil Nikolov",887345678,"PHILOSOPHY","vasil.nikolov@hbschool.bg",33
"Daniela Petkova",886456789,"PSYCHOLOGY","daniela.petkova@hbschool.bg",34
"Director Ivan Stoyanov",885567890,"ADMINISTRATOR","director@hbschool.bg",35
"Atanas Stefanov",88565020,"5A","atanas.stefanov.5a@student.hbschool.bg",37
"Boris Georgiev",88565002,"5A","boris.georgiev.5a@student.hbschool.bg",38
"Boris Stoyanov",88565004,"5A","boris.stoyanov.5a@student.hbschool.bg",39
"Boris Vasilev",88565008,"5A","boris.vasilev.5a@student.hbschool.bg",40
"Daniela Dimitrova",88565011,"5A","daniela.dimitrova.5a@student.hbschool.bg",41
"Hristina Petkova",88565015,"5A","hristina.petkova.5a@student.hbschool.bg",42
"Kristina Todorova",88565013,"5A","kristina.todorova.5a@student.hbschool.bg",43
"Nevena Nikolova",88565017,"5A","nevena.nikolova.5a@student.hbschool.bg",44
"Nikolay Stefanov",88565016,"5A","nikolay.stefanov.5a@student.hbschool.bg",45
"Olga Nikolova",88565003,"5A","olga.nikolova.5a@student.hbschool.bg",46
"Petar Petrov",88565012,"5A","petar.petrov.5a@student.hbschool.bg",47
"Petya Petkova",88565001,"5A","petya.petkova.5a@student.hbschool.bg",48
"Plamen Stefanov",88565006,"5A","plamen.stefanov.5a@student.hbschool.bg",49
"Radina Stoyanova",88565005,"5A","radina.stoyanova.5a@student.hbschool.bg",50
"Rosen Kostov",88565014,"5A","rosen.kostov.5a@student.hbschool.bg",51
"Silvia Ivanova",88565009,"5A","silvia.ivanova.5a@student.hbschool.bg",52
"Stefka Petkova",88565019,"5A","stefka.petkova.5a@student.hbschool.bg",53
"Vladimir Vasilev",88565018,"5A","vladimir.vasilev.5a@student.hbschool.bg",54
"Zlatka Stefanova",88565007,"5A","zlatka.stefanova.5a@student.hbschool.bg",55
"Boris Hristov",88566014,"5B","boris.hristov.5b@student.hbschool.bg",57
"Boris Ivanov",88566008,"5B","boris.ivanov.5b@student.hbschool.bg",58
"Darina Ivanova",88566013,"5B","darina.ivanova.5b@student.hbschool.bg",59
"Dimitar Stoyanov",88566016,"5B","dimitar.stoyanov.5b@student.hbschool.bg",60
"Eva Kostova",88566003,"5B","eva.kostova.5b@student.hbschool.bg",61
"Hristina Stefanova",88566015,"5B","hristina.stefanova.5b@student.hbschool.bg",62
"Hristo Ivanov",88566006,"5B","hristo.ivanov.5b@student.hbschool.bg",63
"Kaloyan Todorov",88566002,"5B","kaloyan.todorov.5b@student.hbschool.bg",64
"Karina Todorova",88566005,"5B","karina.todorova.5b@student.hbschool.bg",65
"Maria Kostova",88566009,"5B","maria.kostova.5b@student.hbschool.bg",66
"Nevena Ivanova",88566017,"5B","nevena.ivanova.5b@student.hbschool.bg",67
"Nevena Stefanova",88566019,"5B","nevena.stefanova.5b@student.hbschool.bg",68
"Petar Stoyanov",88566018,"5B","petar.stoyanov.5b@student.hbschool.bg",69
"Petar Vasilev",88566012,"5B","petar.vasilev.5b@student.hbschool.bg",70
"Ralitsa Stefanova",88566007,"5B","ralitsa.stefanova.5b@student.hbschool.bg",71
"Valentin Ivanov",88566010,"5B","valentin.ivanov.5b@student.hbschool.bg",72
"Viktor Petrov",88566020,"5B","viktor.petrov.5b@student.hbschool.bg",73
"Zlatka Nikolova",88566011,"5B","zlatka.nikolova.5b@student.hbschool.bg",74
"Zlatka Stoyanova",88566001,"5B","zlatka.stoyanova.5b@student.hbschool.bg",75
"Aleksandar Vasilev",88567018,"5C","aleksandar.vasilev.5c@student.hbschool.bg",76
"Bilyana Ivanova",88567013,"5C","bilyana.ivanova.5c@student.hbschool.bg",77
"Darina Petkova",88567005,"5C","darina.petkova.5c@student.hbschool.bg",78
"Elena Ivanova",88567009,"5C","elena.ivanova.5c@student.hbschool.bg",79
"Elitsa Stefanova",88567007,"5C","elitsa.stefanova.5c@student.hbschool.bg",80
"Hristina Petrova",88567011,"5C","hristina.petrova.5c@student.hbschool.bg",81
"Ivan Dimitrov",88567014,"5C","ivan.dimitrov.5c@student.hbschool.bg",82
"Pavel Petkov",88567020,"5C","pavel.petkov.5c@student.hbschool.bg",83
"Petar Stefanov",88567010,"5C","petar.stefanov.5c@student.hbschool.bg",84
"Petya Dimitrova",88567019,"5C","petya.dimitrova.5c@student.hbschool.bg",85
"Radina Stefanova",88567015,"5C","radina.stefanova.5c@student.hbschool.bg",86
"Stefan Ivanov",88567002,"5C","stefan.ivanov.5c@student.hbschool.bg",88
"Stefan Nikolov",88567004,"5C","stefan.nikolov.5c@student.hbschool.bg",89
"Stefka Georgieva",88567003,"5C","stefka.georgieva.5c@student.hbschool.bg",90
"Todor Georgiev",88567008,"5C","todor.georgiev.5c@student.hbschool.bg",91
"Veselin Stoyanov",88567006,"5C","veselin.stoyanov.5c@student.hbschool.bg",92
"Viktor Hristov",88567016,"5C","viktor.hristov.5c@student.hbschool.bg",93
"Zhaneta Kostova",88567001,"5C","zhaneta.kostova.5c@student.hbschool.bg",94
"Zhaneta Todorova",88567017,"5C","zhaneta.todorova.5c@student.hbschool.bg",95
"Anton Georgiev",88568018,"5D","anton.georgiev.5d@student.hbschool.bg",96
"Daniela Stefanova",88568017,"5D","daniela.stefanova.5d@student.hbschool.bg",97
"Galina Petrova",88568019,"5D","galina.petrova.5d@student.hbschool.bg",98
